cocktail_name,alcoholic,category,cocktail_image,cocktail_glass,iba,instructions,ingredient_1_name,ingredient_1_id,ingredient_2_name,ingredient_2_id,ingredient_3_name,ingredient_3_id,ingredient_4_name,ingredient_4_id,ingredient_5_name,ingredient_5_id,ingredient_6_name,ingredient_6_id,measure_1,measure_2,measure_3,measure_4,measure_5,measure_6
Banana Strawberry Shake,Non alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/vqquwx1472720634.jpg,Highball Glass,,Blend all together in a blender until smooth.,Strawberries,245,Banana,32,Yoghurt,286,Milk,185,Honey,142,,null,1/2 lb frozen,1 frozen,1 cup plain,1 cup," to taste
","
"
Banana Strawberry Shake Daiquiri-type,Non alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/uvypss1472720581.jpg,Cocktail Glass,,Blend all together in a blender until smooth.,Strawberries,245,Banana,32,Apple juice,24,,null,,null,,null,1/2 lb frozen,1 frozen,2 cups fresh,,,
Bailey's Dream Shake,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/qxrvqw1472718959.jpg,Collins glass,,Blend ingredients for 30 seconds. Definitely refreshing for a hot summer's day !,Bailey's irish cream,30,Vanilla ice-cream,270,Cream,94,,null,,null,,null,2 oz,2 scoops,"
","
","
","
"
Fruit Shake,Non alcoholic,Other,http://www.thecocktaildb.com/images/media/drink/q0fg2m1484430704.jpg,Highball Glass,,Blend til smooth.,Yoghurt,286,Banana,32,Orange juice,195,Fruit,121,Ice,145,,null,1 cup fruit,1,4 oz frozen,1/2 piece textural,6,
Butter Baby,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/1xhjk91504783763.jpg,Beer mug,,Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.,Vanilla Ice-Cream,270,Butterscotch schnapps,50,Milk,185,Vodka,273,,null,,null,2 scoops,1 part,full glass,2 parts,"
","
"
Banana Milk Shake,Non alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/rtwwsx1472720307.jpg,White wine glass,,"Blend very well, preferably in a household mixer. Serve in a wine glass, garnish with whipped cream and a piece of banana.",Milk,185,Orange juice,195,Sugar syrup,255,Banana,32,,null,,null,10 cl cold,4 cl,2 tsp,1/2,,
Oreo Mudslide,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tpwwut1468925017.jpg,Collins Glass,,"Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry.",Vodka,273,Kahlua,153,Bailey's irish cream,30,Vanilla ice-cream,270,Oreo cookie,198,,null,1 oz,1 oz,1 oz,2 scoops,1,
Texas Sling,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/ypl13s1504890158.jpg,Wine Glass,,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.",Kahlua,153,Irish cream,147,Amaretto,12,151 proof rum,1,Cream,94,,null,1/2 oz,1/2 oz,1/2 oz,1/2 oz Bacardi,1 oz,
155 Belmont,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,White wine glass,,Blend with ice. Serve in a wine glass. Garnish with carrot.,Dark rum,104,Light rum,168,Vodka,273,Orange juice,195,,null,,null,1 shot,2 shots,1 shot,1 shot,,
Chocolate Beverage,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg,Coffee mug,,"Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight.",Milk,185,Chocolate,67,Cinnamon,72,Egg,110,,null,,null,6 cups,3 oz Mexican,1 tsp powdered,3,,
Gluehwein,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg,Irish coffee cup,,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.",Red wine,226,Water,274,Sugar,254,Cinnamon,72,Cloves,73,Lemon peel,162,1 L,125 ml,60 gr,1,3,1 tblsp
Tia-Maria,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/sih81u1504367097.jpg,Collins Glass,,"Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.",Water,274,Brown sugar,48,Coffee,81,Rum,229,Vanilla extract,269,,null,1 cup,3/4-1 cup,4 tsp,1 cup,4 tsp,
Melya,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/xwtptq1441247579.jpg,Coffee mug,,"Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.",Espresso,114,Honey,142,Cocoa powder,76,,null,,null,,null,"
",Unsweetened,,,,
Creme de Menthe,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/yxswtp1441253918.jpg,Collins Glass,,Bring sugar and water to a boil and simmer for 10 minutes. Cool. Add the remaining ingredients and stir. Cover and let ripen for 1 month.,Sugar,254,Water,274,Grain alcohol,131,Peppermint extract,210,Food coloring,118,,null,8 cups,6 cups,1 pint,1 oz pure,1 tblsp green,
Cuba Libre,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uuxsrr1473201663.jpg,Highball glass,Contemporary Classics,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,Light rum,168,Lime,170,Coca-Cola,75,,null,,null,,null,2 oz,Juice of 1/2,,,,
Sea Breeze,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7rfuks1504371562.jpg,Highball glass,Contemporary Classics,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,Vodka,273,Cranberry juice,92,Grapefruit juice,135,,null,,null,,null,1 1/2 oz,4 oz,1 oz,,,
Sex on the Beach,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twsvwr1469092365.jpg,Highball glass,Contemporary Classics,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,Vodka,273,Peach schnapps,207,Cranberry juice,92,Grapefruit juice,135,,null,,null,1 oz,3/4 oz,,,,
Afternoon,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Collins Glass,,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",Kahlua,153,Bailey's irish cream,30,Frangelico,119,Coffee,81,Cream,94,,null,1 cl,1 cl,1 1/2,4 cl hot,"
","
"
Spritz,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg,Old-Fashioned glass,New Era Drinks,"Build into glass over ice, garnish and serve.",Prosecco,222,Campari,52,Soda Water,240,,null,,null,,null,6 cl,4 cl,splash,,,
Apple Grande,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wqrptx1472668622.jpg,Punch Bowl,,Chill both ingredients!! Mix in a tumbler and enjoy!,Tequila,262,Apple cider,23,,null,,null,,null,,null,3 oz,12 oz,,,,
Green Goblin,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg,Pint glass,,"Cider First, Lager then Curacao",Cider,71,Lager,159,Blue Curacao,44,,null,,null,,null,1/2 pint hard,1/2 pint,1 shot,,,
Jam Donut,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,Shot glass,,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.",Baileys irish cream,31,Chambord raspberry liqueur,61,Sugar syrup,255,Sugar,254,,null,,null,2/3 oz,1/3 oz,1 tsp,2 pinches,,
Long Island Tea,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ywxwqs1439906072.jpg,Highball glass,,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,Vodka,273,Light rum,168,Gin,125,Tequila,262,Lemon,160,Coca-Cola,75,1/2 oz,1/2 oz,1/2 oz,1/2 oz,Juice of 1/2,1 splash
Frozen Daiquiri,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg,Champagne flute,,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",Light rum,168,Triple sec,266,Lime juice,171,Sugar,254,Cherry,64,Ice,145,1 1/2 oz,1 tblsp,1 1/2 oz,1 tsp,1,1 cup crushed
Amaretto Shake,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,Collins Glass,,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,Chocolate ice-cream,68,Brandy,47,Amaretto,12,,null,,null,,null,2 scoops,2 oz,2 oz,,,
Sunny Holiday Punch,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/rywtwy1468924758.jpg,Punch bowl,,Combine all ingredients in a punch bowl.,Pineapple juice,216,Club soda,74,Orange juice,195,Lemon,160,Berries,36,Champagne,62,46 oz chilled,28 oz,6 oz frozen,1,2 cups,1 bottle
Chocolate Black Russian,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg,Champagne flute,,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.,Kahlua,153,Vodka,273,Chocolate ice-cream,68,,null,,null,,null,1 oz,1/2 oz,5 oz,,,
9 1/2 Weeks,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,Cocktail glass,,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,Absolut Citron,4,Orange Curacao,194,Strawberry liqueur,246,Orange juice,195,,null,,null,2 oz,1/2 oz,1 splash,1 oz,,
Orange Scented Hot Chocolate,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/hdzwrh1487603131.jpg,Coffee mug,,"Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings.",Milk,185,Chocolate,67,Orange peel,196,Espresso,114,Nutmeg,189,,null,2 cups,4 oz chopped bittersweet or semi-sweet,3 2-inch strips,1/2 tsp instant,1/8 tsp ground,
Frozen Pineapple Daiquiri,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/j2mqsb1504736097.jpg,Champagne flute,,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a champagne flute and serve.,Light rum,168,Pineapple,215,Lime juice,171,Sugar,254,,null,,null,1 1/2 oz,4 chunks,1 tblsp,1/2 tsp,,
Frozen Mint Daiquiri,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jrhn1q1504884469.jpg,Old-fashioned glass,,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,Light rum,168,Lime juice,171,Mint,186,Sugar,254,,null,,null,2 oz,1 tblsp,6,1 tsp,,
Scottish Highland Liqueur,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/upqvvp1441253441.jpg,Collins Glass,,"Combine all ingreds in aging container. Cover tightly and shake gently several times during the first 24 hrs. After 24 hrs, remove the lemon zest. Cover again and let stand in a cool, dark place for 2 weeks, shaking gently every other day. Strain through a wire sieve to remove the angelica root and fennel. Return to aging container, cover and let stand undisturbed in a cool dark place for 6 months. Siphon or pour clear liqueur into a sterile bottle. The cloudy dregs may be saved for cooking.",Johnnie Walker,152,Honey,142,Angelica root,14,Fennel seeds,116,Lemon peel,162,,null,1 fifth,1 1/2 cup mild,2 tsp dried and chopped,1/4 tsp crushed,2 2 inch strips,
