cocktail_name,alcoholic,category,cocktail_image,cocktail_glass,iba,instructions,ingredient_1_name,ingredient_1_id,ingredient_2_name,ingredient_2_id,ingredient_3_name,ingredient_3_id,ingredient_4_name,ingredient_4_id,ingredient_5_name,ingredient_5_id,ingredient_6_name,ingredient_6_id,measure_1,measure_2,measure_3,measure_4,measure_5,measure_6
Wine Punch,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/txustu1473344310.jpg,Collins Glass,,Combine all of the ingredients and pour over a block of ice.,Red wine,226,Lemon,160,Orange juice,195,Orange,192,Pineapple juice,216,,null,1 bottle,2,1 cup,3,1 cup,
Acapulco,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,Old-fashioned glass,,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Light rum,168,Triple sec,266,Lime juice,171,Sugar,254,Egg white,111,Mint,186,1 1/2 oz,1 1/2 tsp,1 tblsp,1 tsp,1,1
Algonquin,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Cocktail glass,,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",Blended whiskey,43,Dry Vermouth,108,Pineapple juice,216,,null,,null,,null,1 1/2 oz,1 oz,1 oz,,,
Alfie Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,Cocktail glass,,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",Lemon vodka,163,Triple sec,266,Pineapple juice,216,,null,,null,,null,1 1/2 oz,1 dash,1 tblsp,,,
Coffee Liqueur,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,Collins Glass,,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",Coffee,81,Vanilla extract,269,Sugar,254,Vodka,273,Water,274,,null,10 tblsp instant,4 tblsp,2 1/2 cups,1 qt,2 1/2 cups,
Cranberry Punch,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/mzgaqu1504389248.jpg,Punch Bowl,,"Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold.",Cranberry juice,92,Sugar,254,Pineapple juice,216,Almond flavoring,11,Ginger ale,127,,null,4 cups,1 1/2 cup,4 cups,1 tblsp,2 qt,
French 75,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/4qnyty1504368615.jpg,Collins glass,Contemporary Classics,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",Gin,125,Sugar,254,Lemon juice,161,Champagne,62,Orange,192,Maraschino cherry,179,1 1/2 oz,2 tsp superfine,1 1/2 oz,4 oz Chilled,1,1
Addison Special,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,Old-fashioned glass,,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,Vodka,273,Grenadine,138,Orange juice,195,,null,,null,,null,1 shot,1 tblsp,Fill with,,,
Orange Push-up,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/mgf0y91503565781.jpg,Hurricane glass,,Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!,Spiced rum,243,Grenadine,138,Orange juice,195,Sour mix,241,,null,,null,1.5 oz,0.5 oz,4 oz,1 splash,,
Spiced Peach Punch,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/qxvypq1468924331.jpg,Collins Glass,,"Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs.",Peach nectar,206,Orange juice,195,Brown sugar,48,Cinnamon,72,Cloves,73,Lime juice,171,46 oz,20 oz,1/2 cup,3 3-inch,1/2 tsp,2 tblsp
